¿Cómo se llama el bar que frecuenta Homero?,Barney's,Duff's,Moe's,Joe's,3
¿Cuál es el segundo nombre de Bart Simpson?,Jay,Jebediah,James,JoJo,4
¿Cómo se llama la esposa de Ned Flanders?,Agnes,Maude,Edna,Helen,2
¿Qué instrumento musical toca Lisa Simpson?,Saxofón,Violín,Guitarra,Piano,1
¿Cuál es la marca de cerveza favorita de Homero?,Corona,Fudd,Duff,Duffo,3
¿Cómo se llama el director de la escuela de Bart?,Inspector Archundia,Willie el escocés,Seymour Skinner,Edna Krabappel,3
¿Qué personaje muere siempre en una de las parodias de Halloween?,Willie el escocés,Homero,Snake,Ned,1
¿Cómo se llama el vecino religioso de los Simpson?,Ned Flanders,Barney Gumble,Reverendo Alegría,Milhouse Van Houten,1
¿Cuál es el nombre completo de Homero?,Homero Joe,Homero Jay,Homero James,Homero Jebediah,2
¿Qué personaje tiene una tienda en el Kwik-E-Mart?,Apu,Otto,Skinner,Moe,1
¿Quién es el mejor amigo de Bart?,Nelson,Milhouse,Martin,Ralph,2
¿Qué personaje es dueño de la Planta Nuclear?,Carl,Sr. Burns,Lenny,Smithers,2
¿Quién es el payaso favorito de Bart?,Krusty,Bobo,Chuckles,Bozo,1
¿Cómo se llama la madre de Marge?,Mona,Agnes,Jacqueline,Edna,3
¿Qué personaje es conocido por decir '¡Excelente!'?,Director Skinner,Kirk Van Houten,Sr. Burns,Wuándulo Smithers,3
¿Cómo se llaman las hermanas de Marge?,Patricia y Selma,Patty y Selma,Selma y Wendy,Patty y Salma,2
¿Qué personaje trabaja como conductor del autobús escolar?,Barney,Otto,Apu,Lenny,2
¿Cómo se llama el perro de los Simpsons?,Snowball II,Bola de Nieve I,Ayudante de Santa,Stampy,3
¿Quién es el enemigo jurado de Bart?,Jimbo Jones,Director Skinner,Bob Patiño,Nelson Muntz,3
¿Qué deporte practica Lisa cuando se une al equipo de la escuela?,Fútbol,Hockey,Béisbol,Baloncesto,2
¿Cómo se llama el grupo musical donde canta Lisa?,Jazz Juvenil,Música Viva,Springfield's Revival,Los Saxamofones,4
¿Qué frase suele decir Bart?,¡Excelente!,¡Woohoo!,¡Ay caramba!,¡Genial!,3
¿Quién es el alcalde de Springfield?,Clancy Górgori,Krusty,Lou,Joe Diamante,4
¿Cuál es el color natural del cabello de Marge?,Rubio,Negro,Azul,Gris,4
¿Qué personaje es el jefe de policía?,Clancy Górgori,Skinner,Eddie,Lou,1
¿Qué instrumento toca 'Encías Sangrantes' Murphy?,Saxofón,Trompeta,Piano,Clarinete,1
¿Cómo se llama el científico loco de Springfield?,Dr. Marvin,Sr. Largo,Profesor Frink,Dr. Nick,3
¿Cual es el nombre del gato los Simpsons?,Stampy,Bola de Nieve II,Ayudante de Santa,Bola de Nieve I,2
¿Qué personaje está enamorado de Marge desde la secundaria?,Barney,Smithers,Ned Flanders,Artie Ziff,4
¿Qué personaje siempre trata de vender cosas a Homero?,Gil,Otto,Krusty,Apu,1
